name, gender
Boztaş,E
Bölükbaşı,E
Börübars,E
Börübay,E
Börühan,E
Börükan,E
Bucak,E
Budak,E
Budunal,E
Budunalp,E
Buğday,K
Buğra,E
Buğrahan,E
Bukay,E
Bulak,E
Bulgan,E
Bulgubay,E
Bulgucan,E
Bulgunoyan,E
Bulutay,E
Buminhan,E
Burak,E
Burçak,U
Burçhan,E
Burhan,E
Burhanettin,E
Burkay,E
Burukbay,E
Buyan,E
Buyrukalp,E
Buyrukata,E
Buyrukbay,E
Buyrukhan,E
Bükay,E
Büldan,K
Bünyamin,E
Büran,E
Bürkan,U
Bürran,K
Büşra,K
Cafer,E
Cahide,K
Cahit,E
Caize,K
Calibe,K
Calp,E
Can,U
Cana,K
Canal,U
Canalp,E
Canaltay,E
Canan,U
Canane,K
Canaş,K
Canat,E
Canay,U
Canaydın,E
Canbay,E
Canbek,E
Canberk,E
Canbey,E
Canbolat,E
Canbulat,E
Canda,E
Candan,U
Candaner,E
Candar,E
Candaş,U
Candeğer,U
Candemir,E
Candoğan,E
Canel,U
Caner,E
Canfeda,K
Canfer,E
Canfes,K
Canfeza,K
Canfidan,K
Canfide,K
Cangiray,E
Cangül,K
Cangün,U
Cangür,E
Canhanım,K
Canıpek,K
Canik,K
Canip,E
Canipek,K
Cankan,E
Cankat,U
Cankaya,E
Cankılıç,E
Cankız,K
Cankoç,E
Cankorur,E
Cankurt,E
Cankut,E
Cannur,U
Canol,E
Canören,E
Canöz,U
Canözen,K
Canözlem,K
Canperver,K
Canpolat,E
Canrüba,K
Cansal,E
Cansay,E
Cansel,U
Cansen,U
Canser,U
Canses,K
Cansev,K
Canseven,U
Cansever,U
Cansın,U
Cansoy,U
Cansu,U
Cansun,U
Cansunar,U
Cansunay,E
Cansuner,E
Cantaş,E
Cantekin,E
Canten,K
Cantez,E
Cantürk,E
Canyurt,E
Caran,E
Carim,E
Carullah,E
Cavidan,K
Cavit,E
Cavlı,E
Cavuldur,E
Caymaz,E
Cazibe,K
Cazim,E
Cazip,E
Cebbar,E
Cebealp,E
Cebrail,E
Cefa,E
Celilay,E
Cemal,E
Cemaleddin,E
Cemalettin,E
Cemalullah,E
Cemşah,E
Cenan,E
Cenani,E
Cenap,E
Cengizhan,E
Cerullah,E
Cevahir,U
